id,end_time,long_fibe_pre,fiber_length,fiber_fibrillation,fiber_teisting,fiber_fine,fiber_thickness,fiber_width,fiber_breaken,power,flow,concentration,check_weight,paper_thickness,formula,knife_service_time,paper_tension_vertically_average
487,2019-07-09 14:43:00,0.36925477019080766,0.5097019323835617,0.8904686284425718,0.21636729105476737,0.359571620465438,0.27022831400005387,0.5705940002988239,0.6245174428469911,0.9230769230769231,0.04444444444444445,0.33333333333333215,0.19615912208504804,0.2079790712884238,（2件海豚)：（1件CB桉木+1.5件绿桉+2件鹦鹉） = 30.77%：69.23%,0.005061017947443191,1021.0
488,2019-07-09 17:05:00,0.36925477019080766,0.5201103060104852,0.9175779055431075,0.29643097851721034,0.3101057122145363,0.3071556230510346,0.6220924912601209,0.5988917093938833,0.846153846153846,0.0,0.5555555555555554,0.2304526748971193,0.1752779594506213,（2件海豚)：（2件绿桉+2.5件鹦鹉） = 30.77%：69.23%,0.005372128141615024,1058.0
489,2019-07-09 19:13:00,0.36925477019080766,0.5201103060104852,0.9175779055431075,0.29643097851721034,0.3101057122145363,0.3071556230510346,0.6220924912601209,0.5988917093938833,0.846153846153846,0.0,0.5555555555555554,0.0672153635116598,0.1327665140614781,（2件海豚)：（2件绿桉+2.5件鹦鹉） = 30.77%：69.23%,0.00015336418022555127,852.0
490,2019-07-10 05:49:00,0.36925477019080766,0.5288286644665723,0.9313276986708028,0.42869346647909756,0.5664318720465786,0.3059939336769002,0.6286478956902339,0.6067270350440861,0.846153846153846,0.0,0.5555555555555554,0.060356652949245526,0.15467625899280574,（2件海豚)：（2件绿桉+2.5件金鱼）=30.77%：69.23%,0.0015467873034177026,908.0
491,2019-07-10 08:57:00,0.36925477019080766,0.5264717882580818,0.9420886714967154,0.42574074648234284,0.5922372877339477,0.26212692478935296,0.6295692301709597,0.6141398505138653,0.846153846153846,0.0,0.33333333333333215,0.040466392318244115,0.15140614780902545,（2件海豚)：（2件绿桉+2.5件金鱼） = 30.77%：69.23%,0.001958679673166326,854.0
492,2019-07-10 12:13:00,0.36925477019080766,0.5264717882580818,0.9420886714967154,0.42574074648234284,0.5922372877339477,0.26212692478935296,0.6295692301709597,0.6141398505138653,0.846153846153846,0.0,0.33333333333333215,0.08847736625514402,0.15369522563767163,（2件海豚)：（2.5件金鱼+2件绿桉） = 30.77%：69.23%,0.0023880993777978697,861.0
493,2019-07-10 17:19:00,0.36925477019080766,0.5288286644665723,0.9313276986708028,0.42869346647909756,0.5664318720465786,0.3059939336769002,0.6286478956902339,0.6067270350440861,0.846153846153846,0.0,0.5555555555555554,0.0582990397805212,0.15009810333551338,（2件海豚)：（2.5件金鱼+2件绿桉） = 30.77%：69.23%,0.003058519937069565,705.0
494,2019-07-10 20:39:00,0.36925477019080766,0.5288286644665723,0.9313276986708028,0.42869346647909756,0.5664318720465786,0.3059939336769002,0.6286478956902339,0.6067270350440861,0.846153846153846,0.0,0.5555555555555554,0.061728395061728336,0.15009810333551338,（2件海豚)：（2件绿桉+2.5件金鱼） = 30.77%：69.23%,0.0034967033091425686,745.0
495,2019-07-11 01:31:00,0.36925477019080766,0.5198984740245813,0.9250174598777225,0.2807353080187851,0.3226381450242144,0.33662199362236933,0.6239063525164443,0.6219835983049746,0.9230769230769231,0.0,0.5555555555555554,0.045953360768175466,0.14388489208633087,（2件海豚)：（2.5件鹦鹉+2件绿桉） = 30.77%：69.23%,0.0041364510323691536,666.0
496,2019-07-11 05:25:00,0.36925477019080766,0.5183333841365922,0.9336580597282875,0.2792379959764748,0.35882224553779807,0.33359444827604,0.6234677226797132,0.6170478587799719,0.9230769230769231,0.0,0.5555555555555554,0.08641975308641969,0.131785480706344,（2件海豚)：（2件鹦鹉+2.5件绿桉） = 30.77%：69.23%,0.0003768376999827831,804.0
497,2019-07-11 08:52:00,0.36925477019080766,0.5175415978160911,0.9357784327036351,0.273102042107094,0.31799451768858233,0.2912161686731114,0.6256189821914564,0.6293964137747707,0.9230769230769231,0.0,0.33333333333333215,0.08024691358024683,0.13930673642903857,（2件海豚)：（2件绿桉+2.5件鹦鹉） = 30.77%：69.23%,0.0008303574900783418,792.0
498,2019-07-11 09:53:00,0.4615384615384616,0.6232717379114072,0.8807749144938837,0.39625429266099754,0.3423209990080842,0.3580238636469968,0.5823006085035445,0.7132642356849503,0.9230769230769231,0.04444444444444445,0.33333333333333215,0.17695473251028804,0.24950948332243295,（2.5件GP针叶)：（2件CB桉木+2件鹦鹉） = 38.46%：61.54%,0.000964003418560608,883.0
499,2019-07-11 13:17:00,0.4615384615384616,0.6232717379114072,0.8807749144938837,0.39625429266099754,0.3423209990080842,0.3580238636469968,0.5823006085035445,0.7132642356849503,0.9230769230769231,0.04444444444444445,0.33333333333333215,0.19067215363511658,0.26749509483322426,（2.5件GP针叶)：（2件CB桉木+2件鹦鹉） = 38.46%：61.54%,0.0014109504580750716,733.0
500,2019-07-11 17:49:00,0.4615384615384616,0.6232717379114072,0.8807749144938837,0.39625429266099754,0.3423209990080842,0.3580238636469968,0.5823006085035445,0.7132642356849503,0.9230769230769231,0.04444444444444445,0.33333333333333215,0.194787379972565,0.26814911706998035,（2.5件GP针叶)：（2件CB桉木+2件鹦鹉） = 38.46%：61.54%,0.0020068798440943565,820.0
